Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"common.ok",1910870016,"","OK","","OK","","ACEPTAR","","OK","","OK","","OK",""
"common.yes",1952813056,"","JA","","YES","","SÍ","","OUI","","JA","","SIM",""
"common.no",1952813057,"","NEIN","","NO","","NO","","NON","","NEE","","NÃO",""
"common.back",1952813058,"","ZURÜCK","","BACK","","VOLVER","","RETOUR","","TERUG","","VOLTAR",""
"common.close",1952813059,"","SCHLIESSEN","","CLOSE","","CERRAR","","FERMER","","SLUITEN","","FECHAR",""
"common.free",1952813060,"","GRATIS","","FREE","","GRATIS","","GRATUIT","","GRATIS","","GRÁTIS",""
"common.watch",1952813061,"","ANSEHEN","","WATCH","","VER","","REGARDER","","KIJKEN","","ASSISTIR",""
"common.claim",1952813062,"","ABHOLEN","","CLAIM","","RECLAMAR","","RÉCUPÉRER","","OPHALEN","","RESGATAR",""
"common.claimed",1952813063,"","ABGEHOLT","","CLAIMED","","RECLAMADO","","RÉCUPÉRÉ","","OPGEHAALD","","RESGATADO",""
"common.locked",1952813064,"","GESPERRT","","LOCKED","","BLOQUEADO","","VERROUILLÉ","","VERGRENDELD","","BLOQUEADO",""
"common.owned",1952813065,"","IM BESITZ","","OWNED","","ADQUIRIDO","","POSSÉDÉ","","IN BEZIT","","ADQUIRIDO",""
"common.equip",1952813066,"","AUSRÜSTEN","","EQUIP","","EQUIPAR","","ÉQUIPER","","UITRUSTEN","","EQUIPAR",""
"common.equipped",1952813067,"","AUSGERÜSTET","","EQUIPPED","","EQUIPADO","","ÉQUIPÉ","","UITGERUST","","EQUIPADO",""
"common.coming_soon",1952813068,"","DEMNÄCHST","","COMING SOON","","PRÓXIMAMENTE","","BIENTÔT","","BINNENKORT","","EM BREVE",""
"common.resets_in",1952813069,"","RESET IN {0}","","RESETS IN {0}","","SE REINICIA EN {0}","","RÉINITIALISATION DANS {0}","","RESET OVER {0}","","REINICIA EM {0}",""
"common.ends_in",1957007360,"","ENDET IN {0}","","ENDS IN {0}","","TERMINA EN {0}","","SE TERMINE DANS {0}","","EINDIGT OVER {0}","","TERMINA EM {0}",""
"common.claim_in",1957007361,"","ABHOLEN IN {0}","","CLAIM IN {0}","","RECLAMA EN {0}","","DISPONIBLE DANS {0}","","OPHALEN OVER {0}","","RESGATE EM {0}",""
"common.utc_reset",2636684562432,"","UTC-RESET {0}","","UTC RESET {0}","","REINICIO UTC {0}","","RÉINIT. UTC {0}","","UTC-RESET {0}","","REINÍCIO UTC {0}",""
"common.legendary",3643338493952,"","LEGENDÄR","","LEGENDARY","","LEGENDARIO","","LÉGENDAIRE","","LEGENDARISCH","","LENDÁRIO",""
"common.default",3643376242688,"","STANDARD","","DEFAULT","","PREDETERMINADO","","PAR DÉFAUT","","STANDAARD","","PADRÃO",""
"common.bonus",3643376242689,"","BONUS","","BONUS","","BONIFICACIÓN","","BONUS","","BONUS","","BÔNUS",""
