Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"gameplay.pause",489000960,"","PAUSE","","PAUSE","","PAUSA","","PAUSE","","PAUZE","","PAUSAR",""
"gameplay.paused",514166784,"","PAUSIERT","","PAUSED","","EN PAUSA","","EN PAUSE","","GEPAUZEERD","","PAUSADO",""
"gameplay.resume",514166785,"","FORTSETZEN","","RESUME","","CONTINUAR","","REPRENDRE","","DOORGAAN","","CONTINUAR",""
"gameplay.restart",514166786,"","NEUSTART","","RESTART","","REINICIAR","","RECOMMENCER","","OPNIEUW","","REINICIAR",""
"gameplay.restart_level",514166787,"","LEVEL NEU STARTEN","","RESTART LEVEL","","REINICIAR NIVEL","","RECOMMENCER LE NIVEAU","","LEVEL OPNIEUW","","REINICIAR NÍVEL",""
"gameplay.main_menu",514166788,"","HAUPTMENÜ","","MAIN MENU","","MENÚ PRINCIPAL","","MENU PRINCIPAL","","HOOFDMENU","","MENU PRINCIPAL",""
"gameplay.revive",514166789,"","WIEDERBELEBEN","","REVIVE","","REVIVIR","","RÉANIMER","","HERLEVEN","","REVIVER",""
"gameplay.no_thanks",514166790,"","Nein, danke","","No Thanks","","No, gracias","","Non merci","","Nee, bedankt","","Não, obrigado",""
"gameplay.level_completed",514166791,"","LEVEL ABGESCHLOSSEN","","LEVEL COMPLETED","","NIVEL COMPLETADO","","NIVEAU TERMINÉ","","LEVEL VOLTOOID","","NÍVEL CONCLUÍDO",""
"gameplay.level_failed",514166792,"","LEVEL FEHLGESCHLAGEN","","LEVEL FAILED","","NIVEL FALLIDO","","ÉCHEC DU NIVEAU","","LEVEL MISLUKT","","NÍVEL FRACASSADO",""
"gameplay.continue",514166793,"","Weiter","","Continue","","Continuar","","Continuer","","Doorgaan","","Continuar",""
"gameplay.combo",514166794,"","Kombo","","Combo","","Combo","","Combo","","Combo","","Combo",""
"gameplay.timer",514166795,"","Timer","","Timer","","Tiempo","","Chrono","","Timer","","Tempo",""
"gameplay.phase_1",514166796,"","PHASE 1","","PHASE 1","","FASE 1","","PHASE 1","","FASE 1","","FASE 1",""
"gameplay.phase_2",514166797,"","PHASE 2","","PHASE 2","","FASE 2","","PHASE 2","","FASE 2","","FASE 2",""
"gameplay.you_died",2631785615360,"","DU BIST GESTORBEN!","","YOU DIED!","","¡HAS MUERTO!","","VOUS ÊTES MORT !","","JE BENT DOOD!","","VOCÊ MORREU!",""
"gameplay.game_over",2631806586880,"","Game Over","","Game Over","","Fin de la partida","","Partie terminée","","Game over","","Fim de jogo",""
"gameplay.seconds",2631806586881,"","{0} s","","{0}s","","{0} s","","{0} s","","{0} s","","{0} s",""
"gameplay.loading",2631806586882,"","WIRD GELADEN...","","LOADING...","","CARGANDO...","","CHARGEMENT...","","LADEN...","","CARREGANDO...",""
