Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"home.play",493195264,"","SPIELEN","","PLAY","","JUGAR","","JOUER","","SPELEN","","JOGAR",""
"home.home",514166784,"","HOME","","HOME","","INICIO","","ACCUEIL","","HOME","","INÍCIO",""
"home.inventory",514166785,"","INVENTAR","","INVENTORY","","INVENTARIO","","INVENTAIRE","","INVENTARIS","","INVENTÁRIO",""
"home.missions",514166786,"","MISSIONEN","","MISSIONS","","MISIONES","","MISSIONS","","MISSIES","","MISSÕES",""
"home.rewards",514166787,"","BELOHNUNGEN","","REWARDS","","RECOMPENSAS","","RÉCOMPENSES","","BELONINGEN","","RECOMPENSAS",""
"home.shop",514166788,"","SHOP","","SHOP","","TIENDA","","BOUTIQUE","","WINKEL","","LOJA",""
"home.no_ads",514166789,"","WERBEFREI","","NO ADS","","SIN ANUNCIOS","","SANS PUB","","GEEN RECLAME","","SEM ANÚNCIOS",""
"home.free_cash",514166790,"","GRATIS-CASH","","FREE CASH","","EFECTIVO GRATIS","","ARGENT GRATUIT","","GRATIS CASH","","DINHEIRO GRÁTIS",""
"home.spin",514166791,"","DREHEN","","SPIN","","GIRAR","","TOURNER","","DRAAIEN","","GIRAR",""
"home.level",514166792,"","LEVEL {0}","","LEVEL {0}","","NIVEL {0}","","NIVEAU {0}","","LEVEL {0}","","NÍVEL {0}",""
"home.spin_action",3641421697024,"","DREHEN!","","SPIN!","","¡GIRAR!","","TOURNEZ !","","DRAAI!","","GIRAR!",""
"home.lucky_spin",3641442668544,"","Glücksrad","","Lucky Spin","","Giro de la suerte","","Roue chanceuse","","Geluksdraai","","Giro da sorte",""
"home.daily_spin",3641442668545,"","Täglicher Dreh","","Daily spin","","Giro diario","","Tour quotidien","","Dagelijkse draai","","Giro diário",""
