Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"items.ability.fire",493195264,"","Feuer","","Fire","","Fuego","","Feu","","Vuur","","Fogo",""
"items.ability.ice",514166784,"","Eis","","Ice","","Hielo","","Glace","","IJs","","Gelo",""
"items.ability.electricity",514166785,"","Elektrizität","","Electricity","","Electricidad","","Électricité","","Elektriciteit","","Eletricidade",""
"items.ability.poison",514166786,"","Gift","","Poison","","Veneno","","Poison","","Gif","","Veneno",""
"items.ability.magic",514166787,"","Magie","","Magic","","Magia","","Magie","","Magie","","Magia",""
"items.sword.bloodreaver",514166788,"","BloodReaver","","BloodReaver","","BloodReaver","","BloodReaver","","BloodReaver","","BloodReaver",""
"items.sword.emberguard",514166789,"","Emberguard","","Emberguard","","Emberguard","","Emberguard","","Emberguard","","Emberguard",""
"items.sword.hellforge",514166790,"","HellForge","","HellForge","","HellForge","","HellForge","","HellForge","","HellForge",""
"items.sword.gravebreaker",514166791,"","Gravebreaker","","Gravebreaker","","Gravebreaker","","Gravebreaker","","Gravebreaker","","Gravebreaker",""
"items.sword.glacier_cipher",514166792,"","Glacier Cipher","","Glacier Cipher","","Glacier Cipher","","Glacier Cipher","","Glacier Cipher","","Glacier Cipher",""
"items.sword.wyrmshade",518361088,"","Wyrmshade","","Wyrmshade","","Wyrmshade","","Wyrmshade","","Wyrmshade","","Wyrmshade",""
"items.sword.sunspire",518361089,"","Sunspire","","Sunspire","","Sunspire","","Sunspire","","Sunspire","","Sunspire",""
"items.rollerblade.urbanrush",518361090,"","UrbanRush","","UrbanRush","","UrbanRush","","UrbanRush","","UrbanRush","","UrbanRush",""
"items.rollerblade.neonvelocity",518361091,"","NeonVelocity","","NeonVelocity","","NeonVelocity","","NeonVelocity","","NeonVelocity","","NeonVelocity",""
"items.rollerblade.frostbiteglide",518361092,"","FrostbiteGlide","","FrostbiteGlide","","FrostbiteGlide","","FrostbiteGlide","","FrostbiteGlide","","FrostbiteGlide",""
"items.rollerblade.infernodrift",518361093,"","InfernoDrift","","InfernoDrift","","InfernoDrift","","InfernoDrift","","InfernoDrift","","InfernoDrift",""
"items.rollerblade.celestialapex",518361094,"","CelestialApex","","CelestialApex","","CelestialApex","","CelestialApex","","CelestialApex","","CelestialApex",""
"items.rollerblade.energen",518361095,"","Energen","","Energen","","Energen","","Energen","","Energen","","Energen",""
"items.rollerblade.firo",518361096,"","Firo","","Firo","","Firo","","Firo","","Firo","","Firo",""
"items.ability.fire_power",2630216945664,"","Feuerkraft","","Fire Power","","Poder de fuego","","Pouvoir de feu","","Vuurkracht","","Poder de fogo",""
"items.ability.ice_power",2630233722880,"","Eiskraft","","Ice Power","","Poder de hielo","","Pouvoir de glace","","IJskracht","","Poder de gelo",""
"items.ability.electricity_power",2630233722881,"","Elektrokraft","","Electricity Power","","Poder eléctrico","","Pouvoir électrique","","Elektrische kracht","","Poder elétrico",""
"items.ability.poison_power",2630233722882,"","Giftkraft","","Poison Power","","Poder venenoso","","Pouvoir toxique","","Gifkracht","","Poder venenoso",""
"items.ability.magic_power",2630233722883,"","Magiekraft","","Magic Power","","Poder mágico","","Pouvoir magique","","Magische kracht","","Poder mágico",""
"items.sword.katana",2630237917184,"","Katana","","Katana","","Katana","","Katana","","Katana","","Katana",""
"items.rollerblade.default",2630237917185,"","Standard-Inlineskates","","Default Rollerblades","","Patines predeterminados","","Rollers par défaut","","Standaard inlineskates","","Patins padrão",""
