Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"legal.privacy_policy",489000960,"","DATENSCHUTZERKLÄRUNG","","PRIVACY POLICY","","POLÍTICA DE PRIVACIDAD","","POLITIQUE DE CONFIDENTIALITÉ","","PRIVACYBELEID","","POLÍTICA DE PRIVACIDADE",""
"legal.terms_of_use",509972480,"","NUTZUNGSBEDINGUNGEN","","TERMS OF USE","","TÉRMINOS DE USO","","CONDITIONS D’UTILISATION","","GEBRUIKSVOORWAARDEN","","TERMOS DE USO",""
"legal.eula",514166784,"","ENDBENUTZER-LIZENZVERTRAG","","END USER LICENCE AGREEMENT","","ACUERDO DE LICENCIA DE USUARIO FINAL","","CONTRAT DE LICENCE UTILISATEUR FINAL","","LICENTIEOVEREENKOMST VOOR EINDGEBRUIKERS","","CONTRATO DE LICENÇA DO USUÁRIO FINAL",""
"legal.data_deletion",514166785,"","DATEN- & LÖSCHANFRAGE","","DATA & DELETION REQUEST","","SOLICITUD DE DATOS Y ELIMINACIÓN","","DEMANDE DE DONNÉES ET DE SUPPRESSION","","GEGEVENS- EN VERWIJDERINGSVERZOEK","","SOLICITAÇÃO DE DADOS E EXCLUSÃO",""
"legal.restore_purchases",514166786,"","KÄUFE WIEDERHERSTELLEN","","RESTORE PURCHASES","","RESTAURAR COMPRAS","","RESTAURER LES ACHATS","","AANKOPEN HERSTELLEN","","RESTAURAR COMPRAS",""
"legal.support",514166787,"","SUPPORT","","SUPPORT","","ASISTENCIA","","ASSISTANCE","","ONDERSTEUNING","","SUPORTE",""
"legal.privacy_coming_soon",2629717823488,"","Die Datenschutzerklärung folgt in Kürze.","","Privacy Policy is coming soon.","","La política de privacidad estará disponible pronto.","","La politique de confidentialité arrive bientôt.","","Het privacybeleid komt binnenkort.","","A Política de Privacidade estará disponível em breve.",""
"legal.terms_coming_soon",2629734600704,"","Die Nutzungsbedingungen folgen in Kürze.","","Terms of Use are coming soon.","","Los términos de uso estarán disponibles pronto.","","Les conditions d’utilisation arrivent bientôt.","","De gebruiksvoorwaarden komen binnenkort.","","Os Termos de Uso estarão disponíveis em breve.",""
"legal.eula_coming_soon",2629734600705,"","Der Endbenutzer-Lizenzvertrag folgt in Kürze.","","End User Licence Agreement is coming soon.","","El acuerdo de licencia estará disponible pronto.","","Le contrat de licence arrive bientôt.","","De eindgebruikerslicentie komt binnenkort.","","O contrato de licença estará disponível em breve.",""
"legal.data_coming_soon",2629734600706,"","Daten- und Löschanfragen folgen in Kürze.","","Data and deletion requests are coming soon.","","Las solicitudes de datos y eliminación estarán disponibles pronto.","","Les demandes de données et de suppression arrivent bientôt.","","Gegevens- en verwijderingsverzoeken komen binnenkort.","","Solicitações de dados e exclusão estarão disponíveis em breve.",""
"legal.restore_unavailable",2629734600707,"","Die Wiederherstellung von Käufen ist noch nicht verfügbar.","","Restore Purchases is not connected yet.","","Restaurar compras aún no está disponible.","","La restauration des achats n’est pas encore disponible.","","Aankopen herstellen is nog niet verbonden.","","Restaurar compras ainda não está disponível.",""
"legal.support_coming_soon",2629734600708,"","Der Supportkontakt folgt in Kürze.","","Support contact is coming soon.","","El contacto de asistencia estará disponible pronto.","","Le contact d’assistance arrive bientôt.","","Supportcontact komt binnenkort.","","O contato de suporte estará disponível em breve.",""
