Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"missions.title",484806656,"","MISSIONEN","","MISSIONS","","MISIONES","","MISSIONS","","MISSIES","","MISSÕES",""
"missions.daily",505778176,"","TÄGLICHE MISSIONEN","","DAILY MISSIONS","","MISIONES DIARIAS","","MISSIONS QUOTIDIENNES","","DAGELIJKSE MISSIES","","MISSÕES DIÁRIAS",""
"missions.story",505778177,"","STORY-MISSIONEN","","STORY MISSIONS","","MISIONES DE HISTORIA","","MISSIONS HISTOIRE","","VERHAALMISSIES","","MISSÕES DA HISTÓRIA",""
"missions.mafia_board",505778178,"","MAFIA-TAFEL","","MAFIA BOARD","","TABLERO DE LA MAFIA","","TABLEAU DE LA MAFIA","","MAFFIABORD","","QUADRO DA MÁFIA",""
"missions.collect_cash.title",505778179,"","CASH SAMMELN","","COLLECT CASH","","RECOGE EFECTIVO","","RÉCOLTEZ DE L’ARGENT","","VERZAMEL CASH","","COLETE DINHEIRO",""
"missions.collect_gems.title",505778180,"","JUWELEN SAMMELN","","COLLECT GEMS","","RECOGE GEMAS","","RÉCOLTEZ DES GEMMES","","VERZAMEL EDELSTENEN","","COLETE GEMAS",""
"missions.cross_levels.title",505778181,"","LEVEL ABSCHLIESSEN","","CROSS LEVELS","","SUPERA NIVELES","","TERMINEZ DES NIVEAUX","","VOLTOOI LEVELS","","CONCLUA NÍVEIS",""
"missions.ad_break.title",505778182,"","WERBEPAUSE","","AD BREAK","","PAUSA PUBLICITARIA","","PAUSE PUB","","RECLAMEPAUZE","","PAUSA PARA ANÚNCIO",""
"missions.collect_cash.description",505778183,"","Sammle {0} Cash","","Collect {0} Cash","","Recoge {0} de efectivo","","Récoltez {0} d’argent","","Verzamel {0} cash","","Colete {0} de dinheiro",""
"missions.collect_gems.description",505778184,"","Sammle {0} Juwelen","","Collect {0} Gems","","Recoge {0} gemas","","Récoltez {0} gemmes","","Verzamel {0} edelstenen","","Colete {0} gemas",""
"missions.complete_levels.description",505778185,"","Schließe {0} Level ab","","Complete {0} Levels","","Completa {0} niveles","","Terminez {0} niveaux","","Voltooi {0} levels","","Conclua {0} níveis",""
"missions.watch_ads.description",505778186,"","Sieh dir {0} Werbungen an","","Watch {0} Ads","","Mira {0} anuncios","","Regardez {0} pubs","","Bekijk {0} advertenties","","Assista a {0} anúncios",""
"missions.kill_enemies",505778187,"","Besiege {0:N0} Gegner","","Defeat {0:N0} {0:plural:enemy|enemies}","","Derrota a {0:N0} {0:plural:enemigo|enemigos}","","Battez {0:N0} {0:plural:ennemi|ennemis}","","Versla {0:N0} {0:plural:vijand|vijanden}","","Derrote {0:N0} {0:plural:inimigo|inimigos}",""
"missions.earn_cash",505778188,"","Verdiene {0:N0} Cash","","Earn {0:N0} Cash","","Gana {0:N0} de efectivo","","Gagnez {0:N0} d’argent","","Verdien {0:N0} cash","","Ganhe {0:N0} de dinheiro",""
"missions.survive_seconds",505778189,"","Überlebe {0:N0} {0:plural:Sekunde|Sekunden}","","Survive for {0:N0} {0:plural:second|seconds}","","Sobrevive durante {0:N0} {0:plural:segundo|segundos}","","Survivez pendant {0:N0} {0:plural:seconde|secondes}","","Overleef {0:N0} {0:plural:seconde|seconden}","","Sobreviva por {0:N0} {0:plural:segundo|segundos}",""
"missions.down_attack_kills",505778190,"","Besiege {0:N0} Gegner mit Sturzangriffen","","Defeat {0:N0} {0:plural:enemy|enemies} with Down Attacks","","Derrota a {0:N0} {0:plural:enemigo|enemigos} con ataques descendentes","","Battez {0:N0} {0:plural:ennemi|ennemis} avec des attaques plongeantes","","Versla {0:N0} {0:plural:vijand|vijanden} met neerwaartse aanvallen","","Derrote {0:N0} {0:plural:inimigo|inimigos} com ataques para baixo",""
"missions.dash_attack_kills",505778191,"","Besiege {0:N0} Gegner mit Sprintangriffen","","Defeat {0:N0} {0:plural:enemy|enemies} with Dash Attacks","","Derrota a {0:N0} {0:plural:enemigo|enemigos} con ataques rápidos","","Battez {0:N0} {0:plural:ennemi|ennemis} avec des attaques éclair","","Versla {0:N0} {0:plural:vijand|vijanden} met sprintaanvallen","","Derrote {0:N0} {0:plural:inimigo|inimigos} com ataques de arrancada",""
"missions.use_power_slam",505778192,"","Setze Power Slam {0:N0}-mal ein","","Use Power Slam {0:N0} {0:plural:time|times}","","Usa Golpe de poder {0:N0} {0:plural:vez|veces}","","Utilisez Impact puissant {0:N0} fois","","Gebruik Power Slam {0:N0} keer","","Use Impacto poderoso {0:N0} {0:plural:vez|vezes}",""
"missions.phase2_combo",505778193,"","Erreiche eine {0:N0}er-Kombo in Phase 2","","Reach a {0:N0} combo in Phase 2","","Alcanza un combo de {0:N0} en la fase 2","","Atteignez un combo de {0:N0} en phase 2","","Behaal een combo van {0:N0} in fase 2","","Alcance um combo de {0:N0} na fase 2",""
