Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"rewards.title",493195264,"","BELOHNUNGEN","","REWARDS","","RECOMPENSAS","","RÉCOMPENSES","","BELONINGEN","","RECOMPENSAS",""
"rewards.daily",514166784,"","TÄGLICHE BELOHNUNGEN","","DAILY REWARDS","","RECOMPENSAS DIARIAS","","RÉCOMPENSES QUOTIDIENNES","","DAGELIJKSE BELONINGEN","","RECOMPENSAS DIÁRIAS",""
"rewards.tomorrow",514166785,"","Morgen","","Tomorrow","","Mañana","","Demain","","Morgen","","Amanhã",""
"rewards.day",514166786,"","TAG {0}","","DAY {0}","","DÍA {0}","","JOUR {0}","","DAG {0}","","DIA {0}",""
"rewards.cash",514166787,"","{0} Cash","","{0} Cash","","{0} de efectivo","","{0} d’argent","","{0} cash","","{0} de dinheiro",""
"rewards.gems",514166788,"","{0} Juwelen","","{0} Gems","","{0} gemas","","{0} gemmes","","{0} edelstenen","","{0} gemas",""
"rewards.chest",514166789,"","Truhe x{0}","","Chest x{0}","","Cofre x{0}","","Coffre x{0}","","Kist x{0}","","Baú x{0}",""
"rewards.special_chest",514166790,"","Spezialtruhe x{0}","","Special Chest x{0}","","Cofre especial x{0}","","Coffre spécial x{0}","","Speciale kist x{0}","","Baú especial x{0}",""
"rewards.unlocked",514166791,"","BELOHNUNG FREIGESCHALTET!","","REWARD UNLOCKED!","","¡RECOMPENSA DESBLOQUEADA!","","RÉCOMPENSE DÉBLOQUÉE !","","BELONING ONTGRENDELD!","","RECOMPENSA DESBLOQUEADA!",""
"rewards.you_won",514166792,"","DU HAST GEWONNEN!","","YOU WON!","","¡HAS GANADO!","","VOUS AVEZ GAGNÉ !","","JE HEBT GEWONNEN!","","VOCÊ GANHOU!",""
"rewards.spins_left",514166793,"","Noch {0}","","{0} Left","","Quedan {0}","","Plus que {0}","","Nog {0}","","Restam {0}",""
"rewards.cash_and_gems",2632771276800,"","{0} Cash + {1} Juwelen","","{0} Cash + {1} Gems","","{0} de efectivo + {1} gemas","","{0} d’argent + {1} gemmes","","{0} cash + {1} edelstenen","","{0} de dinheiro + {1} gemas",""
"rewards.new_item",2632792248320,"","NEUES ITEM FREIGESCHALTET!","","NEW ITEM UNLOCKED!","","¡NUEVO OBJETO DESBLOQUEADO!","","NOUVEL OBJET DÉBLOQUÉ !","","NIEUW ITEM ONTGRENDELD!","","NOVO ITEM DESBLOQUEADO!",""
"rewards.result_cash",2632792248321,"","+{0} Cash","","+{0} Cash","","+{0} de efectivo","","+{0} d’argent","","+{0} cash","","+{0} de dinheiro",""
"rewards.result_gems",2632792248322,"","+{0} Juwelen","","+{0} Gems","","+{0} gemas","","+{0} gemmes","","+{0} edelstenen","","+{0} gemas",""
"rewards.tomorrow_item",3639421014016,"","Item von morgen","","Tomorrow item","","Objeto de mañana","","Objet de demain","","Item van morgen","","Item de amanhã",""
"rewards.resets_in_label",3639441985536,"","Reset in:","","Resets In:","","Se reinicia en:","","Réinit. :","","Reset over:","","Reinicia em:",""
"rewards.day_1",3639441985537,"","TAG 1","","DAY 1","","DÍA 1","","JOUR 1","","DAG 1","","DIA 1",""
"rewards.day_2",3639441985538,"","TAG 2","","DAY 2","","DÍA 2","","JOUR 2","","DAG 2","","DIA 2",""
"rewards.day_3",3639441985539,"","TAG 3","","DAY 3","","DÍA 3","","JOUR 3","","DAG 3","","DIA 3",""
"rewards.day_4",3639441985540,"","TAG 4","","DAY 4","","DÍA 4","","JOUR 4","","DAG 4","","DIA 4",""
"rewards.day_5",3639441985541,"","TAG 5","","DAY 5","","DÍA 5","","JOUR 5","","DAG 5","","DIA 5",""
"rewards.day_6",3639441985542,"","TAG 6","","DAY 6","","DÍA 6","","JOUR 6","","DAG 6","","DIA 6",""
"rewards.day_7",3639441985543,"","TAG 7","","DAY 7","","DÍA 7","","JOUR 7","","DAG 7","","DIA 7",""
"rewards.chest_x1",3639441985544,"","Truhe x1","","Chest x1","","Cofre x1","","Coffre x1","","Kist x1","","Baú x1",""
"rewards.special_chest_x1",3639441985545,"","Spezialtruhe x1","","Special Chest x1","","Cofre especial x1","","Coffre spécial x1","","Speciale kist x1","","Baú especial x1",""
"rewards.lucky_chest_x3",3639441985546,"","Glückstruhe <size=50>x3</size>","","Lucky Chest <size=50>x3</size>","","Cofre de la suerte <size=50>x3</size>","","Coffre chanceux <size=50>x3</size>","","Gelukskist <size=50>x3</size>","","Baú da sorte <size=50>x3</size>",""
"rewards.purchase_complete",3639441985547,"","KAUF ABGESCHLOSSEN!","","PURCHASE COMPLETE!","","¡COMPRA COMPLETADA!","","ACHAT TERMINÉ !","","AANKOOP VOLTOOID!","","COMPRA CONCLUÍDA!",""
