Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"settings.title",476418048,"","EINSTELLUNGEN","","SETTINGS","","AJUSTES","","PARAMÈTRES","","INSTELLINGEN","","CONFIGURAÇÕES",""
"settings.general",497389568,"","ALLGEMEIN","","GENERAL","","GENERAL","","GÉNÉRAL","","ALGEMEEN","","GERAL",""
"settings.audio",497389569,"","AUDIO","","AUDIO","","AUDIO","","AUDIO","","AUDIO","","ÁUDIO",""
"settings.display",497389570,"","ANZEIGE","","DISPLAY","","PANTALLA","","AFFICHAGE","","WEERGAVE","","TELA",""
"settings.music",497389571,"","Musik","","Music","","Música","","Musique","","Muziek","","Música",""
"settings.sound_effects",497389572,"","Soundeffekte","","Sound Effects","","Efectos de sonido","","Effets sonores","","Geluidseffecten","","Efeitos sonoros",""
"settings.vibration",497389573,"","Vibration","","Vibration","","Vibración","","Vibrations","","Trillen","","Vibração",""
"settings.graphics_quality",497389574,"","Grafikqualität","","Graphics Quality","","Calidad gráfica","","Qualité graphique","","Grafische kwaliteit","","Qualidade gráfica",""
"settings.auto",497389575,"","AUTO","","AUTO","","AUTO","","AUTO","","AUTO","","AUTO",""
"settings.low",497389576,"","NIEDRIG","","LOW","","BAJA","","BASSE","","LAAG","","BAIXA",""
"settings.high",497389577,"","HOCH","","HIGH","","ALTA","","ÉLEVÉE","","HOOG","","ALTA",""
"settings.language",497389578,"","SPRACHE","","LANGUAGE","","IDIOMA","","LANGUE","","TAAL","","IDIOMA",""
"settings.privacy_legal",497389579,"","DATENSCHUTZ & RECHTLICHES","","PRIVACY & LEGAL","","PRIVACIDAD Y LEGAL","","CONFIDENTIALITÉ ET LÉGAL","","PRIVACY EN JURIDISCH","","PRIVACIDADE E LEGAL",""
"settings.follow_us",497389580,"","FOLGE UNS","","FOLLOW US","","SÍGUENOS","","SUIVEZ-NOUS","","VOLG ONS","","SIGA-NOS",""
"settings.version",497389581,"","Version {0}","","Version {0}","","Versión {0}","","Version {0}","","Versie {0}","","Versão {0}",""
