Key,Id,Shared Comments,German(de),German(de) Comments,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments,French(fr),French(fr) Comments,Dutch(nl),Dutch(nl) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments
"shop.title",493195264,"","SHOP","","SHOP","","TIENDA","","BOUTIQUE","","WINKEL","","LOJA",""
"shop.swords",514166784,"","SCHWERTER","","SWORDS","","ESPADAS","","ÉPÉES","","ZWAARDEN","","ESPADAS",""
"shop.abilities",514166785,"","FÄHIGKEITEN","","ABILITIES","","HABILIDADES","","CAPACITÉS","","VAARDIGHEDEN","","HABILIDADES",""
"shop.rollerblades",514166786,"","INLINESKATES","","ROLLERBLADES","","PATINES","","ROLLERS","","INLINESKATES","","PATINS",""
"shop.currency_pack",514166787,"","WÄHRUNGSPAKET","","CURRENCY PACK","","MONEDAS","","PACK DE MONNAIE","","VALUTAPAKKET","","PACOTE DE MOEDAS",""
"shop.cash",514166788,"","CASH","","CASH","","EFECTIVO","","ARGENT","","CASH","","DINHEIRO",""
"shop.gems",514166789,"","JUWELEN","","GEMS","","GEMAS","","GEMMES","","EDELSTENEN","","GEMAS",""
"shop.chest",514166790,"","TRUHE","","CHEST","","COFRE","","COFFRE","","KIST","","BAÚ",""
"shop.special",514166791,"","SPEZIAL","","SPECIAL","","ESPECIAL","","SPÉCIAL","","SPECIAAL","","ESPECIAL",""
"shop.lucky_chest",514166792,"","Glückstruhe","","Lucky Chest","","Cofre de la suerte","","Coffre chanceux","","Gelukskist","","Baú da sorte",""
"shop.epic_chest",514166793,"","Epische Truhe","","Epic Chest","","Cofre épico","","Coffre épique","","Epische kist","","Baú épico",""
"shop.best_value",514166794,"","Bestes Angebot","","Best Value","","Mejor oferta","","Meilleure offre","","Beste waarde","","Melhor oferta",""
"shop.double_value",514166795,"","2x Wert","","2x Value","","Valor x2","","Valeur x2","","2x waarde","","Valor 2x",""
"shop.confirm_purchase",514166796,"","KAUF BESTÄTIGEN","","CONFIRM PURCHASE","","CONFIRMAR COMPRA","","CONFIRMER L’ACHAT","","AANKOOP BEVESTIGEN","","CONFIRMAR COMPRA",""
"shop.purchase_complete",514166797,"","KAUF ABGESCHLOSSEN!","","PURCHASE COMPLETE!","","¡COMPRA COMPLETADA!","","ACHAT TERMINÉ !","","AANKOOP VOLTOOID!","","COMPRA CONCLUÍDA!",""
"shop.not_enough_gems",514166798,"","NICHT GENUG JUWELEN","","NOT ENOUGH GEMS","","NO HAY SUFICIENTES GEMAS","","PAS ASSEZ DE GEMMES","","NIET GENOEG EDELSTENEN","","GEMAS INSUFICIENTES",""
"shop.not_enough_cash",514166799,"","NICHT GENUG CASH","","NOT ENOUGH CASH","","NO HAY SUFICIENTE EFECTIVO","","PAS ASSEZ D’ARGENT","","NIET GENOEG CASH","","DINHEIRO INSUFICIENTE",""
"shop.confirm_gems",514166800,"","Du gibst gleich {0} Juwelen für {1} aus. Fortfahren?","","You're about to spend {0} Gems to buy {1}. Are you sure?","","Vas a gastar {0} gemas para comprar {1}. ¿Confirmas?","","Vous allez dépenser {0} gemmes pour acheter {1}. Confirmer ?","","Je gaat {0} edelstenen uitgeven om {1} te kopen. Doorgaan?","","Você vai gastar {0} gemas para comprar {1}. Confirmar?",""
"shop.confirm_cash",514166801,"","Du gibst gleich {0} Cash für {1} aus. Fortfahren?","","You're about to spend {0} Cash to buy {1}. Are you sure?","","Vas a gastar {0} de efectivo para comprar {1}. ¿Confirmas?","","Vous allez dépenser {0} d’argent pour acheter {1}. Confirmer ?","","Je gaat {0} cash uitgeven om {1} te kopen. Doorgaan?","","Você vai gastar {0} de dinheiro para comprar {1}. Confirmar?",""
"shop.need_more_gems",514166802,"","Dir fehlen {0} Juwelen für {1}.","","You need {0} more Gems to buy {1}.","","Necesitas {0} gemas más para comprar {1}.","","Il vous manque {0} gemmes pour acheter {1}.","","Je hebt nog {0} edelstenen nodig om {1} te kopen.","","Faltam {0} gemas para comprar {1}.",""
"shop.need_more_cash",514166803,"","Dir fehlen {0} Cash für {1}.","","You need {0} more Cash to buy {1}.","","Necesitas {0} más de efectivo para comprar {1}.","","Il vous manque {0} d’argent pour acheter {1}.","","Je hebt nog {0} cash nodig om {1} te kopen.","","Faltam {0} de dinheiro para comprar {1}.",""
"shop.unavailable",2634247671808,"","NICHT VERFÜGBAR","","UNAVAILABLE","","NO DISPONIBLE","","INDISPONIBLE","","NIET BESCHIKBAAR","","INDISPONÍVEL",""
"shop.confirm_real_money",2634264449024,"","Du gibst gleich {0} für {1} aus. Fortfahren?","","You're about to spend {0} to buy {1}. Are you sure?","","Vas a gastar {0} para comprar {1}. ¿Confirmas?","","Vous allez dépenser {0} pour acheter {1}. Confirmer ?","","Je gaat {0} uitgeven om {1} te kopen. Doorgaan?","","Você vai gastar {0} para comprar {1}. Confirmar?",""
